,Theme,Frequency
16,Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.),12
26,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",4
8,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",4
15,"Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",3
22,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.)",3
11,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",3
18,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.)",3
28,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",2
24,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.)",2
1,"Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.)",2
35,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",2
20,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",2
36,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",2
37,"Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",2
32,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",2
14,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",2
12,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",2
10,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",2
41,Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.),2
4,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",2
31,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
38,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.)",1
39,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.)",1
40,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.);Too smooth, if not ai over edited ",1
42,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
34,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
43,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
33,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
44,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.)",1
0,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
23,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
30,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
29,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",1
27,Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.);N/A,1
25,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",1
21,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
19,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.)",1
17,"Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
13,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.)",1
9,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
7,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
6,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
5,"Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Complexity or detail in the composition (E.g. Elaborate brushstrokes, intricate textures, or layers of meaning.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.);Gut instinct or personal impression (E.g. A subjective sense that the work feels either human-made or machine-generated based on overall appearance.)",1
3,"Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Perceived artistic intention or emotion (E.g. Deep storytelling, personal expression, or intentional imperfections.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
2,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.)",1
45,"Unnatural or inconsistent details (E.g. Extra limbs, odd textures, or distorted features.);Smoothness or perfection of features (E.g. Overly polished surfaces, perfect symmetry, or uniform lighting.);Presence of technical flaws or glitches (E.g. Artifacts, blending issues, or missing elements.);Familiarity with similar styles or techniques (E.g. A style that resembles AI outputs or a particular human art movement.)",1
